!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
అందించకపోవడంపై	1.0	అం దిం చ క పో వ డం పై 
అందించడం	1.0	అం దిం చ డం 
అందించడంతో	1.0	అం దిం చ డం తో 
అందించడమే	1.0	అం దిం చ డ మే 
అందించడంలో	1.0	అం దిం చ డం లో 
అందించనున్నారు	1.0	అం దిం చ ను న్నా రు 
అందించలేక	1.0	అం దిం చ లే క 
అందించలేదని	1.0	అం దిం చ లే ద ని 
అందించాడు	1.0	అం దిం చా డు 
అందించాయనున్నాయి	1.0	అం దిం చా య ను న్నా యి 
అందించారని	1.0	అం దిం చా ర ని 
అందించారన్నారు	1.0	అం దిం చా ర న్నా రు 
అందించారు	1.0	అం దిం చా రు 
అందించాలని	1.0	అం దిం చా ల ని 
అందించాలన్న	1.0	అం దిం చా ల న్న 
అందించాల్సిన	1.0	అం దిం చాల్ సి న 
అందించి	1.0	అం దిం చి 
అందించింది	1.0	అం దిం చిం ది 
అందించిన	1.0	అం దిం చి న 
అందించినట్లు	1.0	అం దిం చి నట్ లు 
అందించినా	1.0	అం దిం చి నా 
అందించే	1.0	అం దిం చే 
అందించేం	1.0	అం దిం చేం 
అందించేందుకు	1.0	అం దిం చేం దు కు 
అందించేల	1.0	అం దిం చే ల 
అందించేలా	1.0	అం దిం చే లా 
అదితి	1.0	అ ది తి 
అందితే	1.0	అం ది తే 
అందిందని	1.0	అం దిం ద ని 
అందింది	1.0	అం దిం ది 
అందిన	1.0	అం ది న 
అందినకాడికి	1.0	అం ది న కా డి కి 
అందినట్లు	1.0	అం ది నట్ లు 
అందిపట్టి	1.0	అం ది ప ట్టి 
అందిపుచ్చుకోవడమే	1.0	అం ది పు చ్చు కో వ డ మే 
అదిరిపోయే	1.0	అ ది రి పో యే 
అందిరిలోనూ	1.0	అం ది రి లో నూ 
అందిస్తాం	1.0	అం దిస్ తాం 
అందిస్తానని	1.0	అం దిస్ తా న ని 
అందిస్తామని	1.0	అం దిస్ తా మ ని 
అందిస్తామన్నారు	1.0	అం దిస్ తా మ న్నా రు 
అందిస్తారు	1.0	అం దిస్ తా రు 
అందిస్తుందని	1.0	అం దిస్ తుం ద ని 
అందిస్తుంది	1.0	అం దిస్ తుం ది 
అందిస్తున్న	1.0	అం దిస్ తు న్న 
అందిస్తున్నామన్నారు	1.0	అం దిస్ తు న్నా మ న్నా రు 
అందిస్తున్నారన్న	1.0	అం దిస్ తు న్నా ర న్న 
అందిస్తున్నారు	1.0	అం దిస్ తు న్నా రు 
అందిస్తూ	1.0	అం దిస్ తూ 
అందిస్తోందట	1.0	అం దిస్ తోం ద ట 
అందిస్తోంది	1.0	అం దిస్ తోం ది 
అదీ	1.0	అ దీ 
అదీగాక	1.0	అ దీ గా క 
అందుకని	1.0	అం దు క ని 
అందుకనుగుణంగా	1.0	అం దు క ను గు ణం గా 
అందుకు	1.0	అం దు కు 
అందుకుంటాడని	1.0	అం దు కుం టా డ ని 
అందుకుంటామని	1.0	అం దు కుం టా మ ని 
అందుకుంటున్నాడు	1.0	అం దు కుం టు న్నా డు 
అందుకుంది	1.0	అం దు కుం ది 
అందుకుని	1.0	అం దు కు ని 
అందుకునే	1.0	అం దు కు నే 
అందుకునేందుకు	1.0	అం దు కు నేం దు కు 
అందుకున్న	1.0	అం దు కు న్న 
అందుకున్నాడు	1.0	అం దు కు న్నా డు 
అందుకే	1.0	అం దు కే 
అందుకోగలడనే	1.0	అం దు కో గ ల డ నే 
అందుకోవడం	1.0	అం దు కో వ డం 
అదుకోవడానికి	1.0	అ దు కో వ డా ని కి 
అందుకోవాల్సి	1.0	అం దు కో వాల్ సి 
అందుకోసం	1.0	అం దు కో సం 
అందుతుందని	1.0	అం దు తుం ద ని 
అందుతుందన్నారు	1.0	అం దు తుం ద న్నా రు 
అందుతుంది	1.0	అం దు తుం ది 
అందుతున్న	1.0	అం దు తు న్న 
అందుతోందని	1.0	అం దు తోం ద ని 
అదునని	1.0	అ దు న ని 
అదునుగా	1.0	అ దు ను గా 
అదుపు	1.0	అ దు పు 
అదుపుచేయలేకపోతోందని	1.0	అ దు పు చే య లే క పో తోం ద ని 
అదుపుచేసే	1.0	అ దు పు చే సే 
అదుపుతప్పి	1.0	అ దు పు త ప్పి 
అదుపులో	1.0	అ దు పు లో 
అదుపులోకి	1.0	అ దు పు లో కి 
అందుబాటులో	1.0	అం దు బా టు లో 
అందుబాటులోకి	1.0	అం దు బా టు లో కి 
అందుబాటులోనికి	1.0	అం దు బా టు లో ని కి 
అందులో	1.0	అం దు లో 
అందులోకి	1.0	అం దు లో కి 
అందులోని	1.0	అం దు లో ని 
అందులోనూ	1.0	అం దు లో నూ 
అందులోనే	1.0	అం దు లో నే 
అందులోభాగంగా	1.0	అం దు లో భా గం గా 
అందువల్ల	1.0	అం దు వ ల్ల 
అందువల్లే	1.0	అం దు వ ల్లే 
అదృశ్యం	1.0	అ దృశ్ యం 
అదృశ్యమయ్యాడు	1.0	అ దృశ్ య మ య్యా డు 
అదృశ్యమైంది	1.0	అ దృశ్ య మైం ది 
అదృష్టం	1.0	అ దృష్ టం 
అదృష్టంగా	1.0	అ దృష్ టం గా 
అందెశ్రీ	1.0	అం దెశ్ రీ 
అదే	1.0	అ దే 
అందే	1.0	అం దే 
అదేదో	1.0	అ దే దో 
అదేనని	1.0	అ దే న ని 
అదేమంటే	1.0	అ దే మం టే 
అదేమాదిరిగా	1.0	అ దే మా ది రి గా 
అందేలా	1.0	అం దే లా 
అందేలోపు	1.0	అం దే లో పు 
అదేవిధంగా	1.0	అ దే వి ధం గా 
అదేశిస్తే	1.0	అ దే శిస్ తే 
అదేసిన్చినట్టులు	1.0	అ దే సిన్ చి న ట్టు లు 
అందోల్	1.0	అం దోల్ 
అందోళ	1.0	అం దో ళ 
అందోళన	1.0	అం దో ళ న 
అందోళనకారులు	1.0	అం దో ళ న కా రు లు 
అద్దం	1.0	అ ద్దం 
అద్దంకి	1.0	అ ద్దం కి 
అద్దంకిలో	1.0	అ ద్దం కి లో 
అద్దంపట్టే	1.0	అ ద్దం ప ట్టే 
అద్దాలు	1.0	అ ద్దా లు 
అద్దులకు	1.0	అ ద్దు ల కు 
అద్దె	1.0	అ ద్దె 
అద్దెకు	1.0	అ ద్దె కు 
అద్దెకుంటున్నారు	1.0	అ ద్దె కుం టు న్నా రు 
అద్దెలు	1.0	అ ద్దె లు 
అద్దేపల్లి	1.0	అ ద్దే ప ల్లి 
అద్నాన్	1.0	అద్ నాన్ 
అద్భుత	1.0	అద్ భు త 
అద్భుతం	1.0	అద్ భు తం 
అద్భుతంగా	1.0	అద్ భు తం గా 
అద్భుతమంటూ	1.0	అద్ భు త మం టూ 
అద్భుతమని	1.0	అద్ భు త మ ని 
అద్భుతమైన	1.0	అద్ భు త మై న 
అద్భుతానికి	1.0	అద్ భు తా ని కి 
అద్భుతాలు	1.0	అద్ భు తా లు 
అద్యక్షుడు	1.0	అద్ యక్ షు డు 
అధగమిస్తూ	1.0	అ ధ గ మిస్ తూ 
అధారంగా	1.0	అ ధా రం గా 
అధి	1.0	అ ధి 
అధిక	1.0	అ ధి క 
అధికంగా	1.0	అ ధి కం గా 
అధికంచేసి	1.0	అ ధి కం చే సి 
అధికమయ్యే	1.0	అ ధి క మ య్యే 
అధికమించేందుకు	1.0	అ ధి క మిం చేం దు కు 
అధికవర్గాలు	1.0	అ ధి క వర్ గా లు 
అధికశాతం	1.0	అ ధి క శా తం 
అధికార	1.0	అ ధి కా ర 
అధికారం	1.0	అ ధి కా రం 
అధికారంగా	1.0	అ ధి కా రం గా 
అధికారపక్ష	1.0	అ ధి కా ర పక్ ష 
అధికారయంత్రాంగం	1.0	అ ధి కా ర యంత్ రాం గం 
అధికారలు	1.0	అ ధి కా ర లు 
అధికారంలొకి	1.0	అ ధి కా రం లొ కి 
అధికారంలో	1.0	అ ధి కా రం లో 
అధికారంలోకి	1.0	అ ధి కా రం లో కి 
అధికారంలోకొచ	1.0	అ ధి కా రం లో కొ చ 
అధికారంలోకొచ్చాక	1.0	అ ధి కా రం లో కొ చ్చా క 
అధికారవర్గాల్లో	1.0	అ ధి కా ర వర్ గా ల్లో 
అధికారానికి	1.0	అ ధి కా రా ని కి 
అధికారాన్ని	1.0	అ ధి కా రా న్ని 
అధికారి	1.0	అ ధి కా రి 
అధికారిక	1.0	అ ధి కా రి క 
అధికారికంగా	1.0	అ ధి కా రి కం గా 
అధికారిని	1.0	అ ధి కా రి ని 
అధికారినైనా	1.0	అ ధి కా రి నై నా 
అధికారిపై	1.0	అ ధి కా రి పై 
